Faculty/Staff Name,Category,Citation,Students,Journal Name,Publisher Name,Color Code,No Journals Found?,Multiple Journals Found?,PDFarchiving,PDFrestrictions,Postarchiving,Postrestrictions,Prearchiving,Prerestrictions
"Hernández, Dan",Article,"Esch, E. H.*,  D. L. Hernández, J. R. Pasari, R. S. G. Kantor*, and P. C. Selmants. 'Response of soil microbial activity to grazing, nitrogen deposition, and exotic cover in a serpentine grassland.'  Plant and Soil 366 (2013): 671-682.","Ellen Esch, Rose Kantor",Plant and Soil,Springer Verlag,green,,,cannot,,can,,can,
"Hernández, Dan and Mark McKone",Article,"Hernández, D. L., E. H. Esch*, C. J. Alster*, M. J. McKone, and P. Camill.  'Rapid accumulation of soil carbon and nitrogen in a prairie restoration chronosequence.' Soil Science Society of America Journal (2013), doi:10.2136/sssaj2012.0403.","Ellen Esch, Charlotte Alster",Soil Science Society of America Journal,Soil Science Society of America,white,,,cannot,,restricted,18 months embargo,cannot,
"Huergo, Humberto",Article,"Huergo, Humberto. 'Una breve historia del escaparate madrileño moderno.' Arte y Ciudad 3 (1) (2013): 227-258.",,Arte y Ciudad,,,X,,,,,,,
"Jones, Rafe",Article,"Chamberlin, Katharine, Emma Colbert, Sharon Frechette, Patrick Hefferman, Rafe Jones, and Sarah Orchard. 'Newly reducible iterates in families of quadratic polynomials.'  Involve: A Journal of Mathematics 5 (4) (2012): 481-495. ",,Involve: A Journal of Mathematics,,,X,,,,,,,
"Kohen, Dani",Article,"Bai, P., P. Ghosh, J. Sung, D. Kohen, J. I. Siepmann, and R. Q. Snurr. 'A computational study of the adsorption of n-perfluorohexane in zeolite BCR-704.' Fluid Phase Equil. 360 (2013).",,Fluid Phase Equilibria,Elsevier,green,,,cannot,,can,,can,
"Keïta, Chérif",Article,"Hughes, Heather and Chérif  Keïta. 'Nokutela: The Story of a Forgotten Woman Leader.' Durban, South Africa: Department of Arts and Culture-Province of KwaZulu-Natal, 2013.",,The Witness,,,X,,,,,,,
"Leebaw, Danya and Christina Sinkler-Miller",Article,"Leebaw, Danya, Brian Conlan, Kasia Gonnerman, Sarah Johnston, and Christina Sinkler-Miller. 'Improving Library Resource Discovery: Exploring the Possibilities of VuFind and Web-Scale Discovery.' Journal of Web Librarianship 7:2 (2013): 154-189.",,Journal of Web Librarianship,Taylor & Francis (Routledge),green,,,cannot,,can,,can,
"Liben-Nowell, David",Article,"Liben-Nowell, David,  Calder Coalson*, and Carissa Knipe*. 'Indifferent Attachment: The Role of Degree in Ranking Friends.'  IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM'13) (August 2013).","Carissa Knipe, Calder Coalson",IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM'13),,,X,,,,,,,
"Manduca, Cathy",Article,"Manduca, Cathryn.  'The Evolving Nature of Collaboration in the Geological Sciences.' Geological Society of America Special Papers 502 (2013):153-164, doi: 10.1130/2013.2502 (09).",,Geological Society of America Special Papers,,,X,,,,,,,
"Manduca, Cathy",Article,"Manduca, Cathryn.  'Geoscience Education for the Anthropocene.'  Geological Society of America Special Papers 501 (2013):189-201, doi:10.1130/2013.2501(08).",,Geological Society of America Special Papers,,,X,,,,,,,
"Manduca, Cathy",Article,"Manduca, Cathryn.  'Transforming the Teaching of Geoscience and Sustainability.'  EOS, Transactions American Geophysical Union 94 (25) (June 18, 2013): 221-222.",,"EOS, Transactions American Geophysical Union",,yellow,,,cannot,,restricted,"12 months embargo for scientific, technical and medicine titles; 2 years embargo for humanities and social science titles",can,
"Mitra, Raka",Article,"Jacobs, J. M., A. Milling, R. M. Mitra, C. S. Hogan, F. Ailloud, P. Prior, C. Allen.  'Ralstonia solanacearum Requires PopS, an Ancient AvrE-Family Effector, for Virulence and To Overcome Salicylic Acid-Mediated Defenses during Tomato Pathogenesis.'  MBio (2013 Nov 26) 4 (6): e00875-13, doi 10.1128/mBio.00875-13.",,Mbio,American Society for Microbiology,blue,,,can,,can,,cannot,
