Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
12/29/12,2,3.5,0.00%,28.57%,0:08:42,0
8/1/13,2,2.5,0.00%,60.00%,0:01:17,0
20130123_T-shirts,2,4.5,0.00%,0.00%,0:02:29,11
2014-07,2,4.5,0.00%,44.44%,0:02:54,0
2/4/16,2,4,50.00%,37.50%,0:09:35,0.5
alcohol,2,2,50.00%,25.00%,0:00:21,0
alex robinson,2,2.5,50.00%,0.00%,0:01:05,0.5
alumni,2,2.5,0.00%,40.00%,0:00:29,0
anatolia,2,1.5,0.00%,100.00%,0:04:28,0
arboret,2,2,50.00%,0.00%,0:02:07,1.5
archery,2,2,0.00%,25.00%,0:00:43,1
archives,2,2.5,50.00%,40.00%,0:06:45,5.5
artifacts,2,3.5,0.00%,42.86%,0:02:42,0
band,2,4,0.00%,25.00%,0:03:15,0
BDAG,2,3,0.00%,33.33%,0:07:41,1.5
beanie,2,4.5,100.00%,0.00%,0:05:37,0.5
black hole,2,1.5,50.00%,0.00%,0:00:13,0.5
blind,2,7,0.00%,14.29%,0:01:55,0.5
boliou,2,5,50.00%,0.00%,0:04:30,1
book,2,8,0.00%,12.50%,0:04:10,4
Breaking Ground,2,1,100.00%,0.00%,0:00:00,0
brecht,2,2,0.00%,50.00%,0:00:13,0
campus plan,2,3.5,50.00%,14.29%,0:00:57,0.5
CAMS,2,1.5,50.00%,33.33%,0:00:52,1
carleton players,2,6.5,0.00%,15.38%,0:13:20,0.5
caucasian,2,1.5,0.00%,66.67%,0:09:30,1.5
cave,2,7,50.00%,0.00%,0:01:46,5
center for math and computing,2,3.5,0.00%,42.86%,0:00:41,0.5
chalk,2,2,0.00%,50.00%,0:00:38,0.5
chalk circle,2,1,0.00%,100.00%,0:12:37,8
Chapel organ,2,2,100.00%,0.00%,0:00:53,0
Charles M. Thompson,2,1,0.00%,100.00%,0:01:29,0
cheerboys,2,1,0.00%,100.00%,0:00:20,0
chemistry,2,11.5,50.00%,13.04%,0:09:19,1.5
china,2,2.5,50.00%,20.00%,0:01:11,0.5
CLAP,2,2,50.00%,25.00%,0:00:35,0
classroom,2,1,100.00%,0.00%,0:00:00,0
co-op,2,2.5,0.00%,40.00%,0:07:14,0
comput,2,4,0.00%,25.00%,0:02:12,2.5
computer activities committee,2,1.5,50.00%,33.33%,0:01:50,0
computer science,2,1.5,50.00%,0.00%,0:00:07,0.5
convocation,2,1,50.00%,50.00%,0:09:58,1.5
cornerstone,2,1,0.00%,100.00%,0:01:07,0
Cowling,2,1.5,0.00%,66.67%,0:00:43,0
