Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
carleton college bulletin,4,4.75,0.00%,26.32%,0:04:32,0
cassat,4,4.25,50.00%,11.76%,0:05:50,0.25
Caucasian Chalk,4,1.25,0.00%,80.00%,0:08:49,2.5
cave,4,4.5,25.00%,11.11%,0:04:46,2.75
classroom,4,2.75,75.00%,9.09%,0:06:01,1
cowling gym,4,2,0.00%,37.50%,0:05:06,1.25
cowling papers,4,2.25,50.00%,22.22%,0:07:03,0
currency,4,1.75,0.00%,57.14%,0:14:08,12.25
david porter,4,2,50.00%,25.00%,0:00:58,0
davis hall,4,3,0.00%,33.33%,0:02:21,1.5
demolition,4,1.25,25.00%,60.00%,0:02:54,1
dope,4,1.75,50.00%,28.57%,0:10:31,0.5
dope books,4,1.75,50.00%,28.57%,0:19:32,2.5
equestrian,4,2.25,25.00%,33.33%,0:00:29,0
erling larsen,4,1.5,50.00%,16.67%,0:07:18,1.5
faculty,4,1.75,25.00%,42.86%,0:03:58,0.5
faculty club,4,2.75,100.00%,0.00%,0:00:24,0
farm house,4,1.75,50.00%,28.57%,0:01:01,0
fete,4,5.5,25.00%,22.73%,0:01:59,11.5
financial statement,4,2.25,0.00%,44.44%,0:02:58,0
fire,4,4,0.00%,25.00%,0:11:19,1
fred hill,4,2.5,0.00%,60.00%,0:17:18,2.5
french,4,1.75,25.00%,42.86%,0:05:38,4.5
garbisch,4,1,50.00%,50.00%,0:07:44,0.25
geology comp,4,4,75.00%,6.25%,0:03:14,0.75
gillette,4,1.75,0.00%,57.14%,0:10:28,2.5
goat trophy,4,1.75,0.00%,71.43%,0:00:45,0
Goodsell,4,4.25,0.00%,29.41%,0:08:54,4
gould day,4,1.5,0.00%,66.67%,0:03:11,0.5
graphic,4,1,0.00%,75.00%,0:05:55,7.5
Gridley,4,10,0.00%,7.50%,0:15:28,7.5
gridley room,4,3.5,0.00%,21.43%,0:10:06,3.75
group plan,4,1.75,75.00%,14.29%,0:00:49,0
gymnastics,4,2.25,50.00%,11.11%,0:01:39,1.25
handbook,4,3,50.00%,16.67%,0:01:37,0
Henri Verbrugghen,4,3,75.00%,8.33%,0:05:21,0.5
homos,4,1.75,25.00%,71.43%,0:00:44,0.25
hughes family,4,2,25.00%,37.50%,0:03:08,0.25
hulings,4,2.25,50.00%,22.22%,0:01:40,0.25
international,4,2,25.00%,37.50%,0:00:55,0.5
ITS,4,2.25,50.00%,22.22%,0:05:12,0.25
james dow,4,2.75,25.00%,27.27%,0:12:41,1.5
jewett,4,1.5,100.00%,0.00%,0:05:25,0.25
jewish,4,2.75,0.00%,36.36%,0:08:11,1.25
lab,4,2.5,0.00%,40.00%,0:03:14,3.25
lagniappe,4,2,0.00%,37.50%,0:01:34,1
lilac,4,1.25,25.00%,60.00%,0:02:06,0
lyman,4,3.5,25.00%,14.29%,0:00:45,2
manuscript,4,3.5,25.00%,21.43%,0:01:24,0
margaret dow,4,3.25,25.00%,30.77%,0:03:14,0
mary easter,4,1.25,25.00%,40.00%,0:00:42,0.5
mcan,4,1.75,0.00%,57.14%,0:01:02,0.5
men's athletics,4,1,50.00%,50.00%,0:01:29,0
miac,4,8.75,50.00%,11.43%,0:16:26,10
midwinter ball,4,4,0.00%,43.75%,0:07:09,3
monday club,4,1.25,25.00%,60.00%,0:00:44,0
music at carleton,4,4.5,25.00%,22.22%,0:02:00,0.25
natural history,4,1.75,25.00%,57.14%,0:07:56,0.25
Nourse Little Theater,4,2.5,25.00%,30.00%,0:12:24,1.25
off campus studies,4,2.5,25.00%,40.00%,0:11:37,0
organ,4,2.5,25.00%,30.00%,0:00:41,0.5
original observatory,4,7.75,0.00%,9.68%,0:11:58,3
peg gould,4,2,0.00%,50.00%,0:00:36,0.5
performance,4,1.5,0.00%,66.67%,0:04:01,0.75
post card,4,1.25,50.00%,60.00%,0:00:19,0.25
postcard,4,3,0.00%,50.00%,0:09:16,0
poster,4,5.5,25.00%,9.09%,0:04:15,1.5
president,4,4,25.00%,12.50%,0:13:56,1.25
psychology,4,2.25,25.00%,33.33%,0:01:03,0.75
publications photos,4,2,25.00%,37.50%,0:10:31,0.75
race,4,2.25,25.00%,44.44%,0:01:28,0.75
red tie,4,1.5,0.00%,66.67%,0:07:02,0
riesman,4,2.5,50.00%,10.00%,0:12:51,3.75
robert edwards,4,2.5,100.00%,20.00%,0:14:36,2.75
Rotblatt,4,8.25,75.00%,6.06%,0:01:28,1
Sayles-Hill,4,3.5,25.00%,14.29%,0:01:19,2
seccomb,4,7.75,50.00%,9.68%,0:04:41,1.25
Series 5,4,1,100.00%,0.00%,0:00:00,0
silent dance party,4,1.25,25.00%,40.00%,0:10:04,1
Skinner,4,2,100.00%,0.00%,0:00:10,0
sports information,4,3,25.00%,16.67%,0:07:38,1
staff handbook,4,3.5,50.00%,28.57%,0:04:57,0
student faculty council,4,2,0.00%,37.50%,0:08:57,0.75
student handbook,4,2,25.00%,37.50%,0:00:55,0
t-shirt,4,4,0.00%,25.00%,0:08:00,4.5
telescope,4,2,0.00%,50.00%,0:02:32,1.5
tennis court,4,3.25,0.00%,23.08%,0:06:22,1.25
tenure review,4,11.75,25.00%,10.64%,0:03:36,0.5
the carleton story,4,2.5,75.00%,20.00%,0:00:23,0.25
theatre,4,2.25,25.00%,33.33%,0:00:45,0.5
thorstein veblen,4,4.25,50.00%,5.88%,0:03:59,1.25
toff,4,3,0.00%,33.33%,0:03:59,0.25
towner,4,1.25,75.00%,20.00%,0:00:15,0
train,4,3.5,25.00%,35.71%,0:01:23,1
twigonometry,4,2,25.00%,25.00%,0:01:45,1.75
Veblen,4,2.25,100.00%,0.00%,0:00:29,0
Verbrugghen,4,2.5,75.00%,0.00%,0:03:34,0.25
williams demo,4,2.25,0.00%,44.44%,0:05:25,1.75
winter,4,8.75,0.00%,11.43%,0:11:14,5
winter activities,4,1.5,25.00%,16.67%,0:02:25,1.25
winter carnival,4,2.5,0.00%,50.00%,0:01:58,1
women soccer,4,11,0.00%,6.82%,0:17:53,13
women's cross country,4,5.25,75.00%,0.00%,0:03:04,3
10640,3,2,0.00%,83.33%,0:00:55,0.33
12411,3,1.33,0.00%,75.00%,0:00:44,0
13674,3,1,0.00%,100.00%,0:00:36,0.33
13697,3,1,0.00%,100.00%,0:00:13,0
13771,3,2.67,0.00%,50.00%,0:02:54,0
13803,3,2,0.00%,50.00%,0:03:13,0.67
139945,3,1,33.33%,66.67%,0:00:01,0
157870,3,1,0.00%,100.00%,0:04:45,0
158076,3,1.33,33.33%,75.00%,0:00:19,0
158171,3,1,0.00%,100.00%,0:00:34,0
158242,3,1.33,0.00%,100.00%,0:11:50,3.33
158493,3,1.67,0.00%,60.00%,0:04:56,1
158495,3,1,0.00%,100.00%,0:00:19,0
159445,3,1.33,0.00%,100.00%,0:01:35,0
159577,3,1,33.33%,66.67%,0:01:30,0.33
159807,3,1.33,33.33%,50.00%,0:02:46,0
1942,3,3.33,0.00%,40.00%,0:10:05,6.67
1968,3,1,0.00%,66.67%,0:06:55,1
1971,3,2.33,66.67%,14.29%,0:08:22,11.67
1976,3,1.67,0.00%,60.00%,0:04:07,0
