Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth,Alternate Spellings
Eiler Henricksen,2,2,0.00%,75.00%,0:00:42,0.5,1
Elizabeth Cowling,2,3.5,0.00%,29.16%,0:10:42,2,1
Endowment,2,8.5,0.00%,17.65%,0:06:32,0,0
Erling,2,1.5,0.00%,66.67%,0:00:21,0,0
Facebook,2,2,50.00%,50.00%,0:01:24,0,1
Facilities,2,2,50.00%,25.00%,0:01:46,0,0
Faculty,2,1,50.00%,50.00%,0:00:10,0,0
Feminist,2,1,100.00%,0.00%,0:00:00,0,0
Finals,2,2.5,50.00%,25.00%,0:00:13,0.5,1
First Day,2,2,0.00%,50.00%,0:01:46,1.5,0
Flood,2,3.5,100.00%,0.00%,0:01:51,0,0
Food,2,1.5,50.00%,33.33%,0:01:51,0.5,0
Foundations,2,1,0.00%,100.00%,0:01:35,0,0
France,2,1.5,0.00%,66.67%,0:01:25,0.5,0
Francis Densmore,2,1,50.00%,50.00%,0:00:04,0,1
Frank Wright,2,3.5,50.00%,14.29%,0:00:25,0.5,0
Fred B Hill,2,2.5,0.00%,16.66%,0:01:25,2.5,1
Freshman,2,3,0.00%,33.33%,0:02:10,0,0
Freshman Honors,2,1,0.00%,100.00%,0:00:13,0,1
Freshman Traditions,2,1,0.00%,100.00%,0:04:28,0,1
Friday Flowers,2,5.5,0.00%,33.93%,0:04:32,3,1
Fure-Slocum,2,1.5,0.00%,75.00%,0:00:14,0,1
Furioso,2,2.5,0.00%,40.00%,0:03:39,0,0
Gay Student Group,2,1,50.00%,50.00%,0:00:12,0,1
Gender Dormitories,2,1,0.00%,100.00%,0:00:07,0,1
Genevieve Tucker,2,2,50.00%,25.00%,0:01:05,0,0
Girl's Tennis,2,1.5,50.00%,50.00%,0:00:04,0,1
Goat,2,4.5,0.00%,11.11%,0:02:09,3,0
Gould Day,2,2.5,50.00%,25.00%,0:02:35,1,1
Gould Red,2,1,100.00%,0.00%,0:00:00,0,0
Gramophone,2,1,0.00%,100.00%,0:00:06,0,1
Graphic,2,1,0.00%,50.00%,0:05:07,15,0
Guevara,2,2,0.00%,75.00%,0:00:20,0,1
Halloween,2,1,100.00%,0.00%,0:00:00,0,0
Halloween Buggy,2,1.5,50.00%,75.00%,0:00:04,0,1
Harriet Johnson,2,3.5,50.00%,41.66%,0:00:53,0,1
Harry Liem,2,6.5,100.00%,0.00%,0:10:43,31.5,1
Harry S. Martin,2,2.5,100.00%,0.00%,0:01:48,0,1
Henrickson,2,1,50.00%,50.00%,0:00:09,0,1
High School,2,1,0.00%,100.00%,0:00:43,1,0
Hiram L. Coon,2,1,0.00%,100.00%,0:00:22,0,1
Homosexual,2,1,0.00%,100.00%,0:00:44,0,1
Honors Individual,2,4,0.00%,41.66%,0:07:34,0,1
Hughes Family,2,2,0.00%,50.00%,0:05:40,0,0
