Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth,Alternate Spellings
Quality Of Life At Carleton,1,1,0.00%,100.00%,0:00:06,0,0
Queens Of Comedy,1,1,100.00%,0.00%,0:00:00,0,0
Race Gender,1,3,0.00%,0.00%,0:07:30,2,0
Raconteur,1,1,100.00%,0.00%,0:00:00,0,0
Railroad,1,2,0.00%,50.00%,0:00:35,1,0
Raka. Indonesian Student,1,1,100.00%,0.00%,0:00:00,0,0
Ramona,1,5,100.00%,0.00%,0:00:37,0,0
Ramona Africa,1,3,0.00%,66.67%,0:28:35,0,0
RavensbrüCk,1,1,100.00%,0.00%,0:00:00,0,0
Read,1,2,0.00%,0.00%,0:00:25,1,0
Reading Room,1,3,0.00%,33.33%,0:00:58,1,0
Recessional,1,3,0.00%,100.00%,0:01:06,0,0
Recordings,1,1,0.00%,100.00%,0:00:18,0,0
Recordings Of Speeches,1,2,0.00%,50.00%,0:11:23,0,0
Records,1,7,0.00%,28.57%,0:02:52,0,0
Records Arb,1,1,0.00%,100.00%,0:00:11,0,0
Recreation Center,1,3,0.00%,33.33%,0:00:41,1,0
Reel Of Film,1,3,0.00%,33.33%,0:01:16,0,0
Reginald D. Lang,1,4,0.00%,25.00%,0:03:21,3,0
Reginald Government,1,1,0.00%,0.00%,0:04:13,1,0
Regulation,1,1,0.00%,100.00%,0:00:14,0,0
Rehearsal,1,7,0.00%,14.29%,0:02:26,5,0
Religious Affairs Committee,1,2,0.00%,50.00%,0:01:04,0,0
Religious Study,1,1,100.00%,0.00%,0:00:00,0,0
Remove,1,1,0.00%,100.00%,0:00:42,0,0
Renovation,1,1,0.00%,100.00%,0:00:30,0,0
Rent,1,3,0.00%,33.33%,0:02:00,0,0
Rented,1,1,0.00%,100.00%,0:00:06,0,0
Replacements,1,1,100.00%,0.00%,0:00:00,0,0
Reports Of The President,1,1,0.00%,100.00%,0:00:59,0,0
Res Life,1,2,0.00%,50.00%,0:05:23,1,0
Research,1,3,0.00%,33.33%,0:00:53,1,0
Residence,1,3,0.00%,33.33%,0:00:33,0,0
Resident Assistant,1,1,0.00%,100.00%,0:12:02,0,0
Returning,1,1,0.00%,100.00%,0:22:55,0,0
Reunion Binder,1,3,0.00%,33.33%,0:02:10,0,0
Reunion Class,1,1,0.00%,100.00%,0:03:42,3,0
Reunion Class Binder,1,1,0.00%,100.00%,0:00:11,0,0
Reunion Class Portrait,1,1,100.00%,0.00%,0:00:00,0,0
Rev Neil,1,1,0.00%,100.00%,0:00:31,0,0
Rev. Earl Neil,1,3,0.00%,33.33%,0:00:29,0,0
Reverend Neil,1,2,0.00%,50.00%,0:15:28,1,0
Reverend Strong,1,1,0.00%,0.00%,0:05:54,10,0
Rice County Map,1,1,100.00%,0.00%,0:00:00,0,0
Riding,1,2,0.00%,50.00%,0:01:30,2,0
Robert Calhoun,1,10,100.00%,0.00%,0:11:48,0,0
Robert Gale,1,1,0.00%,0.00%,0:03:21,1,0
Robert Gifford,1,2,0.00%,0.00%,0:01:34,1,0
Rockef,1,1,0.00%,100.00%,0:00:12,0,0
Romeo And Julliet,1,1,0.00%,100.00%,0:00:11,0,0
Roommate,1,2,0.00%,50.00%,0:01:05,2,0
Roses,1,1,0.00%,100.00%,0:00:07,0,0
Route 19,1,1,100.00%,0.00%,0:00:00,0,0
Rover,1,1,0.00%,100.00%,0:00:20,0,0
Roy,1,7,0.00%,0.00%,0:01:01,1,0
Roy Grow,1,3,0.00%,33.33%,0:00:38,0,0
Rugby,1,4,100.00%,0.00%,0:01:40,0,0
Rumor,1,1,0.00%,100.00%,0:00:06,0,0
Run,1,4,0.00%,25.00%,0:01:15,2,0
Runner,1,1,0.00%,100.00%,0:00:17,0,0
S Ovule,1,1,0.00%,100.00%,0:00:16,0,0
Sack Rush,1,3,0.00%,33.33%,0:00:34,1,0
Sallmon Annual Reports,1,2,0.00%,0.00%,0:01:21,2,0
Sallmon Portrait,1,2,0.00%,50.00%,0:08:09,1,0
Salmon Persons,1,1,0.00%,100.00%,0:00:07,0,0
Sancho,1,3,0.00%,0.00%,0:08:13,1,0
Sandal,1,1,0.00%,100.00%,0:00:05,0,0
Sandeen,1,3,100.00%,0.00%,0:01:07,0,0
Sarusawa,1,1,100.00%,0.00%,0:00:00,0,0
Saucedo,1,3,0.00%,66.67%,0:03:25,0,0
Sayles Dedication,1,2,0.00%,50.00%,0:00:25,0,0
Scandal,1,2,0.00%,50.00%,0:00:41,0,0
Scheherazade,1,2,0.00%,50.00%,0:01:11,0,0
Scherer,1,1,0.00%,100.00%,0:02:00,0,0
Schmidt Hall,1,2,0.00%,50.00%,0:01:10,0,0
School Colors,1,1,100.00%,0.00%,0:00:00,0,0
Science: Biology And Physics,1,6,100.00%,0.00%,0:01:26,0,0
Scra,1,2,0.00%,50.00%,0:00:19,1,0
Seccomb Concert,1,1,0.00%,100.00%,0:00:05,0,0
Second Century,1,1,100.00%,0.00%,0:00:00,0,0
Section C,1,1,0.00%,100.00%,0:00:45,0,0
Security,1,6,0.00%,16.67%,0:02:35,0,0
Security Services,1,3,0.00%,33.33%,0:09:43,0,0
See It Our Way,1,3,100.00%,0.00%,0:00:15,0,0
Seeker Truth,1,1,100.00%,0.00%,0:00:00,0,0
Semaphore,1,2,0.00%,50.00%,0:00:42,0,0
Senior Class Officers,1,1,0.00%,0.00%,0:01:14,1,0
Serena,1,1,0.00%,100.00%,0:00:16,0,0
Serena Anderson,1,1,0.00%,100.00%,0:01:43,0,0
Serial Publications,1,1,0.00%,0.00%,0:59:24,20,0
Serpent,1,3,0.00%,33.33%,0:01:51,1,0
Service,1,1,0.00%,100.00%,0:00:12,0,0
Sex Dorms,1,1,0.00%,100.00%,0:00:09,0,0
Sexual,1,1,0.00%,100.00%,0:00:18,0,0
Sharpe,1,5,0.00%,20.00%,0:01:38,0,0
Sheridan,1,4,0.00%,0.00%,0:05:39,3,0
Shoot,1,3,0.00%,33.33%,0:00:45,1,0
Shovel,1,1,100.00%,0.00%,0:00:00,0,0
Sign Language,1,1,100.00%,0.00%,0:00:00,0,0
Sit-In,1,1,100.00%,0.00%,0:00:00,0,0
Skin Deep,1,2,0.00%,0.00%,0:03:33,1,0
Skinner Organ,1,1,100.00%,0.00%,0:00:00,0,0
Slave,1,1,0.00%,100.00%,0:00:59,0,0
Slip,1,1,0.00%,100.00%,0:00:10,0,0
Smile,1,1,0.00%,100.00%,0:00:12,0,0
Smoking Policy Task Force,1,1,0.00%,100.00%,0:00:38,0,0
Smut,1,1,100.00%,0.00%,0:00:00,0,0
Snake Dance,1,8,0.00%,12.50%,0:02:08,6,0
Snow,1,7,0.00%,28.57%,0:30:51,3,0
Society,1,2,0.00%,0.00%,0:00:25,5,0
South Africa,1,2,100.00%,0.00%,0:00:25,0,0
South Africa Symposium,1,2,100.00%,0.00%,0:02:42,0,0
Sovik Quanb,1,1,100.00%,0.00%,0:00:00,0,0
Sovikl,1,1,0.00%,100.00%,0:00:03,0,0
Spc,1,4,0.00%,25.00%,0:02:21,0,0
Spco,1,1,0.00%,100.00%,0:00:09,0,0
Special Major,1,1,0.00%,100.00%,0:00:15,0,0
Spicer,1,3,100.00%,0.00%,0:00:13,0,0
Sports Mug Shots,1,1,0.00%,0.00%,0:06:51,4,0
Spring,1,5,0.00%,0.00%,0:00:57,3,0
Spring Break,1,2,0.00%,50.00%,0:00:33,1,0
Sri,1,1,100.00%,0.00%,0:00:00,0,0
Stable,1,1,0.00%,100.00%,0:00:47,0,0
Staff Directory,1,2,100.00%,50.00%,0:00:19,0,0
Stained Glass Window,1,1,0.00%,100.00%,0:00:05,0,0
Stanton,1,6,0.00%,0.00%,0:10:28,5,0
Stephen Lewis,1,2,0.00%,50.00%,0:00:16,0,0
Stereo,1,1,0.00%,0.00%,0:04:22,2,0
Stewart,1,5,0.00%,20.00%,0:05:50,0,0
Stewsie Island,1,7,0.00%,14.29%,0:02:21,1,0
Stop Kiss,1,1,0.00%,100.00%,0:00:58,2,0
Stowe,1,1,0.00%,100.00%,0:15:24,0,0
Stromberg,1,1,100.00%,0.00%,0:00:00,0,0
Strong Portrait,1,2,0.00%,50.00%,0:00:44,1,0
Student Awards,1,1,0.00%,100.00%,0:02:43,0,0
Student Chef,1,1,0.00%,100.00%,0:00:13,0,0
Student Custodian,1,1,100.00%,0.00%,0:00:00,0,0
Student Faculty Council,1,2,0.00%,50.00%,0:05:09,2,0
Student Groups,1,2,0.00%,50.00%,0:09:39,0,0
Student Handbook,1,1,0.00%,100.00%,0:00:50,0,0
Student Lab,1,6,0.00%,16.67%,0:02:32,4,0
Student Life,1,2,0.00%,50.00%,0:07:26,4,0
Student Publications,1,3,0.00%,33.33%,0:01:03,0,0
Student Social Cooperative,1,1,0.00%,100.00%,0:00:16,0,0
Student Theater,1,3,0.00%,33.33%,0:00:45,2,0
Student Work,1,4,100.00%,0.00%,0:12:45,0,0
Students,1,3,0.00%,0.00%,0:01:49,5,0
Students Dining Serving,1,1,0.00%,100.00%,0:00:09,0,0
Students First Day,1,1,0.00%,100.00%,0:00:05,0,0
Students In Arb,1,1,0.00%,100.00%,0:05:10,0,0
"Students In Front Of Skinner Cahpel, 1941/42",1,1,0.00%,100.00%,0:01:24,1,0
Students Protesting The Vietnam War,1,1,0.00%,100.00%,0:00:10,0,0
Students Working,1,2,0.00%,50.00%,0:00:48,1,0
Subject Files,1,2,0.00%,0.00%,0:00:54,5,0
"Sullivan Principles, South Africa",1,1,0.00%,100.00%,0:00:19,0,0
Suspension,1,2,0.00%,50.00%,0:02:16,0,0
Suspension Bridge,1,6,0.00%,33.33%,0:02:51,3,0
Swearer,1,2,0.00%,50.00%,0:08:22,2,0
Swinging,1,1,0.00%,100.00%,0:00:09,0,0
Symposia,1,1,100.00%,0.00%,0:00:00,0,0
Talk Radio,1,1,0.00%,100.00%,0:00:24,0,0
Tam Lin,1,1,0.00%,100.00%,0:00:42,0,0
Tate,1,1,0.00%,100.00%,0:00:31,0,0
Tau,1,2,0.00%,50.00%,0:00:12,0,0
Taube,1,2,0.00%,0.00%,0:00:08,1,0
Taxidermy,1,1,100.00%,0.00%,0:00:00,0,0
Tea Room Photos,1,3,100.00%,0.00%,0:00:23,0,0
Teaching,1,2,100.00%,50.00%,0:01:11,0,0
Teaching Methods,1,3,0.00%,0.00%,0:13:25,3,0
Tech,1,2,0.00%,50.00%,0:00:29,0,0
Ted Mullin,1,1,0.00%,100.00%,0:00:18,0,0
Telescope,1,5,0.00%,0.00%,0:02:02,3,0
Tennis Club,1,3,0.00%,0.00%,0:01:01,3,0
Tennis Player,1,2,0.00%,50.00%,0:00:25,1,0
Tenure,1,2,100.00%,0.00%,0:00:06,0,0
Teresa Porter,1,1,100.00%,0.00%,0:00:00,0,0
Term,1,1,0.00%,100.00%,0:00:04,0,0
"Term ""Forecast""",1,4,0.00%,50.00%,0:17:36,0,0
Terrance Farrell,1,1,0.00%,100.00%,0:00:09,0,0
The Carleton Woman Athlete,1,1,0.00%,100.00%,0:00:20,0,0
The Cave,1,4,0.00%,25.00%,0:05:15,11,0
The Lens,1,2,0.00%,50.00%,0:00:28,0,0
The Multicultural Block Party,1,2,0.00%,50.00%,0:00:45,0,0
The Spectacle,1,6,100.00%,0.00%,0:01:06,0,0
Theater Programs,1,2,0.00%,0.00%,0:01:08,2,0
Thespian,1,1,0.00%,100.00%,0:00:34,3,0
Third Year,1,2,100.00%,0.00%,0:00:07,0,0
Thomas Hughes,1,9,100.00%,0.00%,0:07:17,3,0
Thorsten,1,1,0.00%,100.00%,0:00:26,0,0
Throwback Thursday,1,1,100.00%,0.00%,0:00:00,0,0
Tim Penny,1,1,0.00%,100.00%,0:05:23,2,0
Tinnin Doc Evans,1,2,100.00%,0.00%,0:00:03,0,0
Tisdale,1,1,0.00%,100.00%,0:00:07,0,0
Title Ix,1,2,0.00%,50.00%,0:19:50,2,0
Tobacco,1,1,0.00%,100.00%,0:00:05,0,0
Todd Golub,1,3,0.00%,33.33%,0:00:44,0,0
Tofu,1,1,0.00%,100.00%,0:20:36,1,0
Tom Lamb,1,3,0.00%,33.33%,0:00:33,1,0
Topical Files,1,3,0.00%,33.33%,0:20:58,1,0
Tortorello,1,6,100.00%,0.00%,0:01:37,0,0
Toss,1,2,0.00%,50.00%,0:01:40,2,0
Towner,1,2,100.00%,0.00%,0:00:49,0,0
Townhouses,1,7,100.00%,0.00%,0:01:48,0,0
Traci Porter,1,1,0.00%,100.00%,0:00:17,1,0
Track Team,1,4,100.00%,0.00%,0:00:13,0,0
Traditions Video,1,1,0.00%,100.00%,0:00:10,0,0
Trail,1,4,100.00%,0.00%,0:00:30,0,0
Train,1,10,0.00%,30.00%,0:05:19,4,0
Train Service,1,2,0.00%,50.00%,0:01:19,0,0
Travel,1,4,0.00%,0.00%,0:01:48,3,0
Tray,1,5,0.00%,20.00%,0:01:54,0,0
Traying,1,3,0.00%,33.33%,0:04:13,1,0
Tree,1,10,0.00%,20.00%,0:02:28,1,0
Trent Wells,1,1,100.00%,0.00%,0:00:00,0,0
Troya,1,1,100.00%,0.00%,0:00:00,0,0
Truesdell Kelly,1,1,0.00%,100.00%,0:00:15,0,0
Trustees,1,5,0.00%,40.00%,0:07:09,0,0
Truth,1,4,0.00%,25.00%,0:00:42,0,0
Truth Limited,1,2,100.00%,50.00%,0:00:09,0,0
Tug,1,4,0.00%,25.00%,0:01:59,3,0
Tuition,1,2,0.00%,50.00%,0:02:55,0,0
Turkey,1,3,0.00%,100.00%,0:02:47,0,0
Turning The Eagle,1,1,0.00%,100.00%,0:00:05,0,0
Ulrich,1,1,0.00%,100.00%,0:14:36,1,0
Ultimate,1,1,0.00%,100.00%,0:20:44,0,0
Ulysses In Nighttown,1,3,100.00%,0.00%,0:00:12,0,0
Umbrella,1,6,0.00%,50.00%,0:01:39,2,0
Undem,1,3,100.00%,0.00%,0:08:21,0,0
Uninvited Company,1,7,0.00%,14.29%,0:06:11,5,0
Unknown Date,1,1,0.00%,100.00%,0:00:14,0,0
Up The Down Staircase,1,1,0.00%,100.00%,0:00:07,0,0
Valedict,1,1,0.00%,100.00%,0:08:15,0,0
Van Bergen,1,1,0.00%,100.00%,0:01:03,0,0
Vandalism,1,4,0.00%,50.00%,0:00:37,0,0
Veben,1,1,0.00%,100.00%,0:00:32,0,0
Verbr,1,1,100.00%,0.00%,0:00:00,0,0
Vernis,1,1,0.00%,100.00%,0:00:04,0,0
Vesper,1,3,0.00%,33.33%,0:07:24,1,0
Vessel,1,1,0.00%,100.00%,0:00:15,1,0
Veteran,1,1,0.00%,100.00%,0:00:12,0,0
Veteran's Housing,1,1,0.00%,100.00%,0:01:18,0,0
Video Call,1,2,0.00%,50.00%,0:04:46,0,0
Video Files,1,3,100.00%,0.00%,0:00:19,0,0
Vigil,1,5,0.00%,20.00%,0:01:19,3,0
Village,1,1,100.00%,0.00%,0:00:00,0,0
Visit Oden,1,1,0.00%,100.00%,0:00:17,0,0
Voice,1,3,0.00%,33.33%,0:14:53,0,0
Wagenbach,1,1,0.00%,100.00%,0:09:00,0,0
Wagenbach Class,1,1,0.00%,100.00%,0:00:08,0,0
War In Korea,1,1,0.00%,100.00%,0:00:05,0,0
Wardeen,1,2,100.00%,50.00%,0:00:19,0,0
Wardeen Sharp,1,1,0.00%,100.00%,0:00:09,0,0
Wartime,1,1,0.00%,100.00%,0:00:07,0,0
Water Bottle,1,2,0.00%,100.00%,0:00:07,0,0
Watkins,1,2,0.00%,50.00%,0:00:36,0,0
Weiner,1,4,0.00%,25.00%,0:00:22,0,0
Weitz Center,1,2,0.00%,50.00%,0:03:06,3,0
Wet Gazette,1,1,100.00%,0.00%,0:00:00,0,0
Wheeler,1,1,100.00%,0.00%,0:00:00,0,0
White,1,3,0.00%,33.33%,0:00:38,2,0
White America,1,5,0.00%,20.00%,0:01:13,0,0
Whoa,1,6,0.00%,0.00%,0:00:59,3,0
Willard Tuomi,1,1,0.00%,100.00%,0:04:22,3,0
William A Hunt,1,1,0.00%,100.00%,0:00:33,0,0
William Buffett,1,2,0.00%,50.00%,0:11:31,0,0
William Craine,1,1,100.00%,0.00%,0:00:00,0,0
William Stokes,1,5,100.00%,0.00%,0:04:21,0,0
William Wells,1,1,0.00%,100.00%,0:00:45,1,0
Wino,1,3,0.00%,33.33%,0:02:49,1,0
Winter Carnival,1,2,0.00%,50.00%,0:01:34,0,0
Woehrlin,1,1,100.00%,0.00%,0:00:00,0,0
Women Sports,1,2,0.00%,50.00%,0:02:43,0,0
Women's Archery,1,1,0.00%,100.00%,0:00:06,0,0
Women's Gym,1,7,0.00%,14.29%,0:27:02,2,0
Womens,1,7,100.00%,0.00%,0:23:40,0,0
Woods,1,5,0.00%,20.00%,0:00:57,5,0
Woolsey,1,2,0.00%,0.00%,0:00:13,1,0
Wrestling,1,1,0.00%,100.00%,0:01:05,0,0
Writing Portfolio,1,1,0.00%,100.00%,0:00:24,0,0
Wwii,1,3,0.00%,33.33%,0:00:20,0,0
Yamasaki,1,6,0.00%,0.00%,0:20:05,30,0
Yandell,1,2,0.00%,50.00%,0:01:34,0,0
Younger,1,1,100.00%,0.00%,0:00:00,0,0
Zelliot,1,10,100.00%,0.00%,0:03:36,0,0
Zha,1,1,100.00%,0.00%,0:00:00,0,0
Zion,1,2,0.00%,50.00%,0:00:22,0,0
Zoology,1,1,0.00%,100.00%,0:01:08,0,0
Zubek,1,1,100.00%,0.00%,0:00:00,0,0
Zulu,1,1,0.00%,100.00%,0:11:19,0,0
