Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
Fran Lucas,2,1.00,100.00%,0.00%,00:00:00,0.00
frank kellogg,2,3.00,0.00%,33.33%,00:11:23,4.00
frank wright,2,1.50,0.00%,66.67%,00:00:47,1.00
"Frank Wu, Professor of Law at Howard University",2,1.00,0.00%,100.00%,00:00:36,0.00
Fred B. Hill,2,5.50,0.00%,18.18%,00:01:56,2.50
gillian sorensen,2,1.00,50.00%,50.00%,00:00:28,0.00
Goodhue,2,2.50,50.00%,20.00%,00:12:39,0.50
Goodsell interior,2,4.50,0.00%,11.11%,00:06:00,5.50
GOP,2,3.50,0.00%,28.57%,00:01:58,1.00
gould,2,3.50,50.00%,14.29%,00:01:46,2.00
gould library,2,4.50,50.00%,22.22%,00:00:57,1.00
grandstand,2,2.50,0.00%,20.00%,00:00:33,0.50
gridley dining,2,6.50,0.00%,7.69%,00:03:45,8.50
gridley hall,2,22.50,50.00%,2.22%,00:06:57,22.00
Gridley Hall,2,30.00,0.00%,3.33%,00:19:13,23.00
ground for respect,2,4.00,0.00%,25.00%,00:01:58,0.00
headley,2,3.50,0.00%,28.57%,00:00:49,1.00
health service,2,1.00,0.00%,100.00%,00:08:58,0.50
Herkenratt,2,6.00,100.00%,8.33%,00:10:49,8.00
higher education coordinating,2,2.00,50.00%,50.00%,00:07:24,0.00
hill of three oaks,2,2.00,100.00%,25.00%,00:03:54,0.00
history comp,2,10.50,0.00%,9.52%,00:12:40,3.50
History comp,2,2.00,100.00%,0.00%,00:08:59,0.00
honorary degree,2,2.00,50.00%,25.00%,00:03:25,0.00
Honors,2,2.50,100.00%,0.00%,00:00:14,0.00
horses,2,1.50,50.00%,33.33%,00:00:09,0.00
house,2,9.00,0.00%,5.56%,00:20:23,5.50
housing,2,2.00,0.00%,50.00%,00:02:16,0.00
"Innovations in the Scholarship of Teaching and Learning at the Liberal Arts Colleges Keynote Address: Randy Bass, Assistant Provost for Teaching and L",2,1.00,0.00%,100.00%,00:03:07,0.00
"Innovations in the Scholarship of Teaching and Learning at the Liberal Arts Colleges Keynote Address:, Carol Geary Schneider, President, Association o",2,1.00,0.00%,100.00%,00:02:02,0.00
institutional research report,2,1.50,50.00%,33.33%,00:05:56,0.00
Interfaith Service of Remembrance and Thanksgiving,2,1.50,0.00%,66.67%,00:00:49,0.00
intern,2,1.00,0.00%,100.00%,00:00:36,0.00
