Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
"Amy Domini, founder and CEO of Domini Social Investments",1,1,0.00%,100.00%,0:00:23,0
Amy Sewell,1,1,0.00%,0.00%,0:00:05,1
an address by Congressman Keith Ellison (Minnesota Fifth District),1,1,0.00%,100.00%,0:19:37,0
Anatolia,1,1,0.00%,100.00%,0:05:14,0
Anatolia,1,6,0.00%,16.67%,0:07:33,3
ancient lifeways,1,1,0.00%,100.00%,0:00:47,0
andi scott,1,5,100.00%,0.00%,0:03:04,0
andrea howland '85,1,2,0.00%,50.00%,0:00:57,0
angelique dietz,1,1,100.00%,0.00%,0:00:00,0
anita sarkeesian,1,1,0.00%,100.00%,0:02:07,0
"Ann Medlock, Founder and President of the Giraffe Project",1,1,0.00%,100.00%,0:01:31,0
ann scott,1,2,100.00%,0.00%,0:02:34,0
Ann Siebert,1,3,100.00%,0.00%,0:00:30,0
"Anne Krueger, Professor of Economics at Stanford University",1,1,0.00%,100.00%,0:01:09,0
anne patrick,1,1,0.00%,100.00%,0:07:36,0
annick,1,1,0.00%,100.00%,0:00:43,0
anniversary banner,1,1,0.00%,100.00%,0:00:06,0
announcement annual,1,2,0.00%,0.00%,0:12:25,3
announcement number,1,2,0.00%,50.00%,0:00:54,0
Annual Fund,1,1,0.00%,100.00%,0:02:12,0
Annual Fund,1,4,100.00%,0.00%,0:03:26,0
annual newsletter,1,2,0.00%,50.00%,0:02:16,0
annual report chemistry,1,1,0.00%,100.00%,0:03:14,0
annual report giving,3,1.67,33.33%,20.00%,0:10:07,2.33
annual reports,6,2.5,16.67%,26.67%,0:03:49,2
annual reports,4,2.25,0.00%,44.44%,0:05:30,0
annual reports,3,2.33,0.00%,42.86%,0:03:28,0.33
annual reports,1,3,0.00%,33.33%,0:03:25,0
annual reports,1,2,0.00%,50.00%,0:00:13,0
annual reports,1,1,0.00%,100.00%,0:00:06,0
annual reports,1,2,0.00%,50.00%,0:00:41,0
antarctic treaty,1,1,0.00%,100.00%,0:01:28,0
Anthropological and archaeological reseacher Johan Reinhard,1,1,0.00%,100.00%,0:00:52,0
aparna artistic,1,1,0.00%,100.00%,0:02:19,0
apartment,1,1,0.00%,100.00%,0:01:09,0
aphrodite,1,1,0.00%,100.00%,0:00:18,0
applebaum concert,1,1,0.00%,100.00%,0:00:44,0
appleman now,1,1,0.00%,100.00%,0:01:06,0
appleyard,1,1,100.00%,0.00%,0:00:00,0
Arakel,1,5,0.00%,0.00%,0:04:30,3
arb,9,4.44,22.22%,12.50%,0:03:46,4.56
arbib,1,1,0.00%,100.00%,0:00:31,0
arbib artificial,1,2,0.00%,50.00%,0:02:22,0
arbib thagard,1,1,0.00%,100.00%,0:02:02,0
Arboretum,24,4.21,58.33%,7.92%,0:03:02,0.75
Arboretum,3,6,0.00%,5.56%,0:02:21,6.67
Arboretum,1,27,0.00%,0.00%,0:11:48,11
Arboretum,1,1,0.00%,100.00%,0:00:07,0
Arboretum,1,4,0.00%,0.00%,0:16:26,2
arboretum farm,1,1,0.00%,100.00%,0:04:34,7
arboretum farm,1,1,0.00%,100.00%,0:00:20,0
arboretum manage,1,1,0.00%,100.00%,0:01:09,1
architectural,1,1,0.00%,100.00%,0:00:36,0
archives,2,1,0.00%,100.00%,0:04:52,5.5
arild miller,1,15,100.00%,0.00%,0:04:47,0
arland pianist,1,1,0.00%,100.00%,0:00:20,0
armacost ambassador,1,1,0.00%,100.00%,0:01:46,0
armacost philippines,1,1,0.00%,100.00%,0:01:06,0
Armenian,1,1,0.00%,100.00%,0:00:06,0
Armenian,1,1,0.00%,100.00%,0:00:03,0
Armenian,1,1,0.00%,100.00%,0:00:06,0
army,4,3,0.00%,16.67%,0:05:21,3
"Arne Carlson, governor",1,1,0.00%,100.00%,0:01:54,0
arnold eisen,1,2,0.00%,50.00%,0:00:58,0
"Arnold Steinhardt, violin John Dalley, violin Michael Tree, viola Peter Wiley, cello",1,2,0.00%,100.00%,0:12:14,0
aronson development,1,1,0.00%,100.00%,0:00:55,0
ars musics,1,4,0.00%,25.00%,0:02:20,0
ars musics,1,1,0.00%,100.00%,0:00:17,0
Art,1,3,0.00%,33.33%,0:21:08,0
Art,1,23,0.00%,4.35%,0:14:44,15
Art,1,1,100.00%,0.00%,0:00:00,0
Art,1,1,0.00%,100.00%,0:00:06,0
Art Building,1,2,0.00%,50.00%,0:00:33,0
art events,1,1,0.00%,100.00%,0:00:12,0
art exhibit,1,1,0.00%,100.00%,0:07:12,3
art exhibit,1,1,0.00%,100.00%,0:00:25,0
art gallery,2,1,0.00%,100.00%,0:12:52,0
art history,1,1,0.00%,100.00%,0:06:54,0
art program,1,1,0.00%,100.00%,0:05:23,0
arthur glasfeld,1,2,100.00%,0.00%,0:00:09,0
arthur haskell wingate,1,1,100.00%,0.00%,0:00:00,0
arthur keith,1,1,100.00%,0.00%,0:00:00,0
Artificial Intellegence Symposium,2,1,0.00%,100.00%,0:00:44,0
Artificial Intellegence Symposium,1,1,0.00%,100.00%,0:01:05,0
Artificial Intellegence Symposium,1,1,0.00%,100.00%,0:06:34,0
arun ghandi,1,1,0.00%,100.00%,0:00:23,0
arun ghandi,1,1,0.00%,100.00%,0:00:16,0
asada,1,1,100.00%,0.00%,0:00:00,0
ashamed,2,1.5,0.00%,66.67%,0:08:42,0.5
ashamed,1,3,0.00%,33.33%,0:00:28,0
Asia,1,2,0.00%,50.00%,0:00:36,2
Asia House,1,4,0.00%,0.00%,0:00:52,1
asia-minor,1,1,0.00%,100.00%,0:04:31,3
asia-minor,1,1,0.00%,100.00%,0:00:14,0
asian studies,1,1,0.00%,100.00%,0:02:05,0
assignment,1,1,0.00%,100.00%,0:01:07,0
associated china program home,1,1,0.00%,100.00%,0:07:48,0
Associated China Program 'Home Movies',1,1,0.00%,100.00%,0:02:31,0
"Associated Colleges of the Midwest, Produced by Eleanor Zelliot, Professor of History, Carleton College",1,1,0.00%,100.00%,0:00:43,0
"Associated Colleges of the Midwest, Produced by Eleanor Zelliot, Professor of History, Carleton College",1,1,100.00%,0.00%,0:00:00,0
association of minnesota colleges,1,2,0.00%,100.00%,0:02:01,0
atherton bean,5,3.2,20.00%,18.75%,0:15:49,7
athletic,2,2,50.00%,50.00%,0:24:44,5
athletic facilities strategic,1,1,0.00%,100.00%,0:01:26,3
athletic program,1,1,0.00%,100.00%,0:00:05,0
athletic program,1,1,0.00%,100.00%,0:00:17,0
athletic program,1,1,0.00%,100.00%,0:00:20,0
attendance requirement,1,1,100.00%,0.00%,0:00:00,0
atwood humphrey,1,1,0.00%,100.00%,0:00:35,0
audience at South Pacific,1,2,100.00%,0.00%,0:01:04,1
audio,1,1,0.00%,100.00%,0:02:36,0
Author and rock Critic Tim Riley,1,1,0.00%,100.00%,0:03:41,0
"Author, columnist, and Newsweek contributing editor Ellis Cose, author of nine books, including the bestselling The Rage of a Privileged Class,Color-B",1,1,0.00%,100.00%,0:00:43,0
autograph,1,3,0.00%,33.33%,0:28:25,0
autograph,1,1,0.00%,100.00%,0:00:15,0
autograph,1,5,0.00%,20.00%,0:04:47,0
autogrpah book,1,1,0.00%,100.00%,0:00:05,0
autumn,2,1.5,0.00%,33.33%,0:08:27,1
auxiliary,1,1,0.00%,100.00%,0:36:51,8
auxiliary,1,1,0.00%,100.00%,0:00:07,0
Azwell,1,1,100.00%,0.00%,0:00:00,0
"b.f. maiz, poet, lecturer, and human rights advocate",1,1,0.00%,100.00%,0:04:29,0
"John Churchill, Secretary, The Phi Beta Kappa Society b2: Andrea Leskes, Vice President for Education and Quality Initiatives, Association of Amer",2,1.5,0.00%,100.00%,0:15:08,1.5
 greenleaf,1,1,0.00%,100.00%,0:00:09,0
baby,1,1,0.00%,100.00%,0:00:51,0
back,1,4,0.00%,0.00%,0:01:24,3
Bad Input,4,3.75,0.00%,26.67%,0:06:55,11.25
Bad Input,4,5.25,75.00%,4.76%,0:18:57,1.5
Bad Input,2,2,50.00%,0.00%,0:01:07,3
Bad Input,1,1,0.00%,100.00%,0:01:22,0
Bad Input,1,6,0.00%,16.67%,0:06:55,0
Bad Input,1,1,0.00%,100.00%,0:00:05,0
Bad Input,1,1,100.00%,0.00%,0:00:00,0
Bailey,1,2,0.00%,50.00%,0:00:47,0
Bailey vern,1,1,100.00%,0.00%,0:00:00,0
Bailey vern,1,3,0.00%,0.00%,0:09:59,1
Bald Spot,1,5,0.00%,20.00%,0:02:50,6
ball,1,25,0.00%,4.00%,0:06:49,6
bands,2,5,100.00%,0.00%,0:01:26,1.5
bands,1,2,100.00%,0.00%,0:00:07,0
bands,1,1,0.00%,100.00%,0:00:58,1
banner,1,5,0.00%,20.00%,0:04:59,0
baptist,1,1,0.00%,100.00%,0:01:19,0
baratin,1,1,0.00%,100.00%,0:00:25,0
"Barbara Fredrickson, the Kenan Distinguished Professor of Psychology at the University of North Carolina at Chapel Hill and the director of the univer",1,1,0.00%,100.00%,0:06:26,0
Barbara Melnick seigle,1,2,100.00%,50.00%,0:00:18,0
barbour,2,1.5,50.00%,33.33%,0:00:33,0
"barbour, george",1,1,100.00%,0.00%,0:00:00,0
bardwell,1,3,0.00%,33.33%,0:07:26,0
Bardwell Smith,4,2.75,0.00%,27.27%,0:03:07,0.75
Bardwell Smith,1,5,100.00%,0.00%,0:00:33,0
bardwell smith barbour,1,1,0.00%,100.00%,0:00:14,0
bardwell smith papers,1,2,0.00%,50.00%,0:01:18,1
"Bardwell Smith, with Jewelnel Davis, Stephen R. Lewis, Jr., Elizabeth McKinsey, Robert Bonner, et. al. 1: Convocation 2: Excerpts 3: Address with intr",1,1,100.00%,0.00%,0:00:00,0
barnett stassen,1,1,0.00%,100.00%,0:00:47,0
barney hicks,1,1,0.00%,0.00%,0:03:23,7
barno,1,1,0.00%,100.00%,0:00:18,0
barone world,1,1,0.00%,100.00%,0:00:55,0
barraza mestiza,1,1,0.00%,100.00%,0:00:35,0
barry,1,2,100.00%,0.00%,0:00:17,0
barry casper,9,2.33,33.33%,33.33%,0:11:04,0.44
barry casper,1,1,0.00%,100.00%,0:00:04,0
Barry rust,1,2,100.00%,0.00%,0:00:40,0
baseball commissioner,1,2,0.00%,50.00%,0:05:02,0
Baseball team owner and marketing maven Mike Veeck,1,1,0.00%,100.00%,0:00:31,0
basketball,8,3.62,12.50%,20.69%,0:05:36,2.88
basketball,1,1,0.00%,100.00%,0:00:12,0
basketball court,1,1,100.00%,0.00%,0:00:00,0
bauer,1,1,0.00%,100.00%,0:00:19,0
bauerlein emory,1,1,0.00%,100.00%,0:01:08,0
bayard,1,2,0.00%,50.00%,0:01:09,0
Beanie,1,2,100.00%,0.00%,0:08:22,0
Beanie,1,2,0.00%,50.00%,0:03:41,5
beard,1,1,0.00%,100.00%,0:00:23,0
Beauvais Lyons,1,1,0.00%,100.00%,0:01:01,0
beckel liberal,1,1,0.00%,100.00%,0:01:54,0
beckwith quayle,1,1,0.00%,100.00%,0:00:54,0
beld gale,1,2,0.00%,100.00%,0:04:49,0
bell field,1,5,0.00%,20.00%,0:03:50,5
bellamy learning,1,1,0.00%,100.00%,0:00:15,0
bellcourt,1,1,0.00%,100.00%,0:01:05,0
benedict binenkorb,1,1,0.00%,100.00%,0:00:24,0
Benjamin Friedman Harvard University economist,1,1,0.00%,100.00%,0:01:05,0
Benjamin Friedman Harvard University economist,1,1,0.00%,100.00%,0:00:07,0
Benjamin Friedman Harvard University economist,1,1,0.00%,100.00%,0:01:13,0
bennett organization,1,1,0.00%,100.00%,0:00:52,0
bentley journal,1,1,0.00%,100.00%,0:02:54,0
bergin,1,1,100.00%,0.00%,0:00:00,0
bergman booth,1,1,0.00%,100.00%,0:04:39,0
bernice bailey,1,2,0.00%,50.00%,0:01:13,0
bernice reagon,1,1,0.00%,100.00%,0:00:41,0
berta mcpike,1,1,0.00%,100.00%,0:00:12,0
best sociology,1,1,0.00%,100.00%,0:00:58,0
Beth Boosalis Davis,1,1,0.00%,100.00%,0:00:35,0
beth freeman,1,1,0.00%,100.00%,0:01:52,0
"Betty Anderson Hulings, as told to Barbara Sommer",1,1,0.00%,100.00%,0:26:45,0
Beverly Nagel '75,1,2,0.00%,50.00%,0:02:33,0
Beverly Sills Convocation Conversation Master Class,1,1,0.00%,100.00%,0:01:15,0
bhikkhu,1,2,0.00%,100.00%,0:01:37,0
bial founder posse,1,1,0.00%,100.00%,0:01:04,0
biale emanuel,1,1,0.00%,100.00%,0:01:16,0
bianca,1,1,0.00%,100.00%,0:00:04,0
bianca,1,1,0.00%,100.00%,0:09:28,0
bilingual,1,1,0.00%,100.00%,0:03:51,0
