"305471","158199","Originals or Copies Note","00:57:38","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD60 57:38 AABox12","13"
"305464","158198","Originals or Copies Note","01:00:25","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD90 1:00:25 AABox12","13"
"305449","158195","Originals or Copies Note","01:15:55","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD90 1:15:55 AABox12","13"
"305444","158194","Originals or Copies Note","01:20:21","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","1: CD90 1:20:21 AABox12","13"
"305441","158194","Originals or Copies Note","01:53:00","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","S-VHS Orig 1h 53m 96/7D","8"
"305430","158192","Originals or Copies Note","00:25:17","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","VHS em -- 25:17 96/7D","8"
"305427","158191","Originals or Copies Note","00:51:55","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","1: CD 60 dolby stereo 51:55 AABox13","13"
"305421","158190","Originals or Copies Note","00:47:09","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD60 47:09 AABox13","13"
"305415","158189","Originals or Copies Note","","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","0","(WCAL Recordings at Music Dept)","13"
"305394","158186","Originals or Copies Note","00:55:00","Least Diff: 00:00:04","Greatest Diff: 00:00:04","All close: ---","< 20 sec diff: Yes","1","S-VHS orig 55 min; VHSem 54:56; 97/8A","8"
"305391","158185","Originals or Copies Note","00:52:39","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD60 52:39 AABox13","13"
"305368","158181","Originals or Copies Note","","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","0","(No audio production)","13"
"305374","158182","Originals or Copies Note","01:02:53","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD90 1:02:53 AABox13","13"
"305377","158183","Originals or Copies Note","00:57:00","Least Diff: 00:00:18","Greatest Diff: 00:00:18","All close: ---","< 20 sec diff: Yes","1","S-VHS Orig 57 min; VHSem 56:42; 97/8A","8"
"305380","158183","Originals or Copies Note","00:56:41","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD60 56:41 AABox13","13"
"305385","158184","Originals or Copies Note","01:14:24","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD90 1:14:24 AABox13","13"
"305409","158188","Originals or Copies Note","01:06:20","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD90 1:06:20 AABox13","13"
"305333","158174","Originals or Copies Note","00:58:50","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","1: CD60 58:50 AABox13","13"
"305327","158173","Originals or Copies Note","00:53:48","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD60 53:48 AABox13","13"
"305324","158173","Originals or Copies Note","00:54:12","Least Diff: 00:00:12","Greatest Diff: 00:00:12","All close: ---","< 20 sec diff: Yes","1","S-VHS Orig 54 min VHS EM 54:12 97/8B","8"
"305321","158172","Originals or Copies Note","01:04:30","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD90 1:04:30 AABox13","13"
"305315","158171","Originals or Copies Note","01:06:40","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD90 1:06:40 AABox13","13"
"305309","158170","Originals or Copies Note","01:07:16","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD90 1:07:16 AABox13","13"
"305300","158169","Originals or Copies Note","00:55:13","Least Diff: 00:00:13","Greatest Diff: 00:00:13","All close: ---","< 20 sec diff: Yes","1","S-VHS orig 55 min VHSHiFiStereo EM 55:13 97/8B","8"
"305295","158168","Originals or Copies Note","00:04:32","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","S-VHS EM 4:32 97/8B","8"
"305288","158166","Originals or Copies Note","","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","0","DAT orig AABox13","13"
"305285","158166","Originals or Copies Note","01:02:00","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","S-VHS Orig 1h 2m 97/8C","8"
"305282","158165","Originals or Copies Note","01:02:05","Least Diff: --------","Greatest Diff: --------","All close: ---","< 20 sec diff: ---","1","CD90 1:02:05 AABox13","13"
