"305306","158170","Originals or Copies Note","2","1:00:51||1h 7m","S-VHS orig 1h 7m VHSem 1:00:51 97/8B","8"
"305303","158169","Originals or Copies Note","3","55:04||55:03|| 55 min","DAT orig 55 min Data files on CD CD60 55:04 Dolby(r) B Stereo AudioCD 55:03 AABox13","13"
"305300","158169","Originals or Copies Note","2","55:13|| 55 min","S-VHS orig 55 min VHSHiFiStereo EM 55:13 97/8B","8"
"305295","158168","Originals or Copies Note","1","4:32","S-VHS EM 4:32 97/8B","8"
"305291","158167","Originals or Copies Note","2","2:03:07||2h14m","VHS Orig x 2; 2h14m total VHSem 2:03:07 97/8B","8"
"305288","158166","Originals or Copies Note","0","","DAT orig AABox13","13"
"305285","158166","Originals or Copies Note","1","1h 2m","S-VHS Orig 1h 2m 97/8C","8"
"305282","158165","Originals or Copies Note","1","1:02:05","CD90 1:02:05 AABox13","13"
"305280","158165","Originals or Copies Note","2","1:02:18||1h 2m","S-VHS Orig 1h 2m VHSem 1:02:18 97/8C","8"
"305277","158164","Originals or Copies Note","1","55:22","CD60 55:22 AABox14","13"
"305274","158164","Originals or Copies Note","2","54:38|| 56m","S-VHS Orig 56m VHSem 54:38","8"
"305271","158163","Originals or Copies Note","2","51:43||55:15","1: CD60 51:43 2: CD60 55:15 AABox14","13"
"305268","158163","Originals or Copies Note","2","52:01|| 52m","S-VHS Orig 52m VHSem 52:01 97/8C","8"
"305265","158162","Originals or Copies Note","1","57:00","CD60 57:00 AABox14","13"
"305262","158162","Originals or Copies Note","2","56:21|| 57m","S-VHS Orig 57m VHSem 56:21 97/8C","8"
"305259","158161","Originals or Copies Note","1","1:02:09","CD90 1:02:09 AABox14","13"
"305257","158161","Originals or Copies Note","2","1:02:17||1h 2m","S-VHS Orig 1h 2m VHSem 1:02:17 97/8C","8"
"305254","158160","Originals or Copies Note","1","59:55","CD60 59:55 AABox14","13"
"305252","158160","Originals or Copies Note","2","59:48|| 1h","S-VHS Orig 1h VHSem 59:48 97/8C","8"
"305248","158159","Originals or Copies Note","2","1:36:33||1h 40m","S-VHS Orig 1h 40m VHSem 1:36:33 97/8C","8"
"305243","158158","Originals or Copies Note","2","1:05:13||1h 6m","S-VHS Orig 1h 6m VHSem 1:05:13 97/8C","8"
"305240","158157","Originals or Copies Note","2","56:50||24:06","1: CD60 56:50 2: CD60 24:06 AABox14","13"
"305237","158157","Originals or Copies Note","3","56:16||24:25||1h 1m","S-VHS Orig 1h 1m 1: VHSem 56:16 2: VHSem 24:25 97/8C","8"
"305234","158156","Originals or Copies Note","0","","DAT Orig AABox14","13"
"305232","158156","Originals or Copies Note","0","","S-VHS Orig 97/8C","8"
"305229","158155","Originals or Copies Note","16","41:45||1:02:55||1:03:08||1:08:23||56:27||19:24||1:05:37||1:19:55||1:25:05||41:54||1:01:12||1:06:50||1:04:30||33:41||1:41:44||51:52","1: CD60 41:45 2: CD90 1:02:55 3: CD90 1:03:08 4: CD90 1:08:23 5: CD60 56:27 6: EM60 19:24 (not for release) 7: CD90 1:05:37 8: CD90 1:19:55 9a: CD90 1:25:05 9b: CD90 41:54 10: CD90 1:01:12 11: CD90 1:06:50 (special release only) 12: CD90 1:04:30 13: CD60 33:41 14: DAT Orig; DAT EM; Copy60x2 1:41:44 15: CD60 51:52 All AABox14","13"
"305226","158155","Originals or Copies Note","1","1h 25m","9: S-VHS Orig; 1h 25m 15: S-VHS Orig; 55 m 97/8C","8"
"305223","158154","Originals or Copies Note","2","1:39:19||1:00:21","1: DM60x2 1:39:19 2: DM90 1:00:21 AABox15","13"
"305218","158153","Originals or Copies Note","0","","Betacam Edit Master VHS Commercial Dub 97/7C","8"
"305214","158152","Originals or Copies Note","1","1:03:30","~1:03:30 without unrelated opening announcement","13"
"305209","158151","Originals or Copies Note","1","1:12:52","CD90 1:12:52 AABox15","13"
"305204","158150","Originals or Copies Note","1","1:02:43","CD90 1:02:43 AABox15","13"
"305199","158149","Originals or Copies Note","1","1:00:14","CD90 1:00:14 AABox15","13"
"305194","158148","Originals or Copies Note","1","1:08:03","CD90 1:08:03 AABox15","13"
"305189","158147","Originals or Copies Note","2","1:20:19||59:46","1: CD90 1:20:19 2: CD90 59:46 AABox15","13"
"305184","158146","Originals or Copies Note","1","49:07","CD60 49:07 AABox15","13"
"305179","158145","Originals or Copies Note","1","58:12","CD60 58:12 AABox15","13"
"305174","158144","Originals or Copies Note","1","59:28","CD90 59:28 AABox15","13"
"305169","158143","Originals or Copies Note","1","58:46","CD60 58:46 AABox15","13"
"305158","158141","Originals or Copies Note","1","43:40","DAT orig (?) CD90 43:40 (where?)","13"
"305153","158139","Originals or Copies Note","1","1:01:19","CD90 1:01:19 AABox15","13"
"305148","158138","Originals or Copies Note","1","38:27","CD60 38:27 AABox15","13"
"305143","158137","Originals or Copies Note","1","51:39","CD60 51:39 AABox15","13"
"305138","158136","Originals or Copies Note","1","1:05:15","CD90 1:05:15 AABox15","13"
"305132","158135","Originals or Copies Note","3","55:14||58:16||55:14","Data files on CD and HD; AudioCD 55:14; Cass60 58:16 AABox15; .mp3 file: 55:14 22.1 MB","13"
"305126","158134","Originals or Copies Note","1","1:00:11","CD90 1:00:11 AABox15","13"
"305121","158133","Originals or Copies Note","1","48:57","CD60 48:57 AABox15","13"
"305116","158132","Originals or Copies Note","1","62:17","CD90 62:17 AABox15","13"
"305111","158131","Originals or Copies Note","0","","(no audio recording)","13"
"305105","158130","Originals or Copies Note","1","1:03:52","CD90 1:03:52 AABox15","13"
"305101","158129","Originals or Copies Note","1"," 56 min","DAT Orig 56 min","13"
"305097","158128","Originals or Copies Note","1","56:41","CD60 56:41 AABox15","13"
"305093","158127","Originals or Copies Note","1","1:03:25","CD90 1:03:25 AABox15","13"
"305089","158126","Originals or Copies Note","1","59:05","CD60 59:05 AABox15","13"
"305084","158125","Originals or Copies Note","1","54:14","CD60 54:14 AABox15","13"
"305079","158124","Originals or Copies Note","1","40:31","CD60 40:31 AABox15","13"
"305074","158123","Originals or Copies Note","2","1:05:29||1:04:50","1: CD90 1:05:29 2: CD90 1:04:50; AABox16","13"
"305068","158122","Originals or Copies Note","3","1:08:12||20:28||1hr 9min","DAT Orig 1hr 9min; 1: CD90 1:08:12; 2: CD 60 20:28; AABox16","13"
"305063","158121","Originals or Copies Note","4","1:31:20||13:36||11:28||1hr 55min","DAT Orig ~1hr 55min; 1: CD90 1:31:20; 2: CD(60) 13:36; 3: CD(60) 11:28; AABox16","13"
"305058","158120","Originals or Copies Note","12","54:32||29:32||1:51:38||58:03||38:30||1:29:10||46:08||1:41:01||1:27:20||1:26:07||58:23||1:02:26","DAT Originals 1: CD60 54:32 2: CD60 29:32 3: CD60x2 1:51:38 4: CD60 58:03 5: CD60 38:30 6:(Compact Disk at Alumni Office) 7: CD90 1:29:10 8: CD60 46:08; 9: CD60x2 1:41:01 10: CD90 1:27:20 11: CD90 1:26:07 12: (Compact Disk at Alumni Office) 13: CD60 58:23 14: CD90 1:02:26; AABox16","13"
"305053","158119","Originals or Copies Note","1","59:49","CD90 59:49 AABox16","13"
"305048","158118","Originals or Copies Note","2","51:14||1:20:09","1: CD60 51:14 2: CD90 1:20:09 AABox16","13"
"305043","158117","Originals or Copies Note","1","1:13:27","CD90 1:13:27 AABox16","13"
"305038","158116","Originals or Copies Note","1","1:07:57","CD90 Audition Tape 1:07:57 Commercial Copy AABox16","13"
"305033","158115","Originals or Copies Note","1","55:49","CD60 55:49 AABox16","13"
"305028","158114","Originals or Copies Note","1"," 1 hr","C90 Orig approx 1 hr Tape in Development office","13"
"305023","158113","Originals or Copies Note","1","1:01:51","CD90 1:01:51 stereo AABox16","13"
"305018","158112","Originals or Copies Note","1","52:55","CD60 52:55 AABox17","13"
"305013","158111","Originals or Copies Note","2","58:35||58:35","CD60 (archives only) 58:35 CD60 (edit) 58:35 AABox17","13"
"305008","158110","Originals or Copies Note","2","51:07||1:03:37","1: CD60 51:07 2: CD90 1:03:37; AABox17","13"
"305003","158109","Originals or Copies Note","2","1:05:39||1 hr 7 min","C90 orig 1 hr 7 min; CD90 1:05:39; AABox17","13"
"304998","158108","Originals or Copies Note","1","54:49","CD60 54:49 AABox17","13"
"304993","158107","Originals or Copies Note","1","1:12:00","Dub from DAT; 1:12:00 stereo AABox17","13"
"304988","158106","Originals or Copies Note","0","","DAT orig AABox17","13"
"304984","158105","Originals or Copies Note","1"," 75 min","C90 Original (low level recording) approx 75 min AABox17 (Development office has comopressed dub)","13"
"304979","158103","Originals or Copies Note","1","1:00:19","CD90 1:00:19 AABox17","13"
"304975","158102","Originals or Copies Note","1","66:00","CD90 66:00; AABox17","13"
"304971","158101","Originals or Copies Note","1","57:47","CD60 57:47; AABox17","13"
"304966","158100","Originals or Copies Note","1","49:58","CD60 49:58 AABox17","13"
"304961","158099","Originals or Copies Note","0","","CD90 X2 AABox17","13"
"304956","158098","Originals or Copies Note","2","58:35|| 59m","DAT Orig stereo 59m CD90 58:35 stereo AABox17","13"
"304951","158097","Originals or Copies Note","1","59:50","CD60 59:50 AABox17","13"
"304946","158096","Originals or Copies Note","1","01:06:32","CD901:06:32 AABox17","13"
"304942","158095","Originals or Copies Note","1","40:49","CD90 40:49 one side AABox18","13"
"304938","158094","Originals or Copies Note","1"," 63 min","Cass Orig x2 CD90 63 min AABox17","13"
"304934","158093","Originals or Copies Note","2","56:41||56:35","DAT Orig Data files on CD AudioCD 56:41 CD6056:35 AABox17","13"
"304930","158092","Originals or Copies Note","1","59:45","CD60 59:45 AABox17","13"
"304926","158091","Originals or Copies Note","2","53:45||53:45","DAT Orig Data files on CD (on 12Jan01) Data files on CD (again) AudioCD 53:45 CD60 53:45 AABox18","13"
"304921","158090","Originals or Copies Note","1","57:45","CD60 57:45 AABox18","13"
"304916","158089","Originals or Copies Note","1","1:00:35","CD60 1:00:35; AABox18","13"
"304911","158088","Originals or Copies Note","1","1:00:16","CD90 1:00:16 AABox18","13"
