"304926","158091","Originals or Copies Note","DAT Orig Data files on CD (on 12Jan01) Data files on CD (again) AudioCD 53:45 CD60 53:45 AABox18","13"
"304921","158090","Originals or Copies Note","CD60 57:45 AABox18","13"
"304916","158089","Originals or Copies Note","CD60 1:00:35; AABox18","13"
"304911","158088","Originals or Copies Note","CD90 1:00:16 AABox18","13"
"304906","158087","Originals or Copies Note","CD90 1:08:58 AABox18","13"
"304901","158086","Originals or Copies Note","CD60 60:18 Data files on CD AABox18","13"
"304896","158085","Originals or Copies Note","CD60 54:16 AABox18","13"
"304891","158084","Originals or Copies Note","Data files on CD (see 12May00) 1: CD90 1:04:18 2: CD60 22:58 AABox18","13"
"304886","158083","Originals or Copies Note","DAT orig (2 tapes) CD90 1:23:00 (rmr x2) Provided tape AABox18","13"
"304880","158082","Originals or Copies Note","a: CD60x2 1:53:10 b: CD90 39:30 c: CD90 1:29:55 d: CD60x2 1:36:37; e: CD90 1:35:20; f: CD90 1:17:15; g: CD60 25:10 all AABox18","13"
"304875","158081","Originals or Copies Note","CD60 59:39 AABox18","13"
"304870","158080","Originals or Copies Note","CD60 58:20 AABox18","13"
"304864","158079","Originals or Copies Note","DAT Orig CD60: 16:23 AABox18","13"
"304859","158078","Originals or Copies Note","CD60 56:57 Data files on CD AABox18","13"
"304854","158077","Originals or Copies Note","Data files in computerDAT orig 1h 4 min (?); a: CD90 1:03:22 Stereo; AABox19 a: AudioCD 1:04:17 b: AudioCD 40:49","13"
"304849","158076","Originals or Copies Note","CD60 56:09 AABox19","13"
"304844","158075","Originals or Copies Note","*DAT Original CD90 1:12:37 Data files on CD (additional data CD transfer Nov06) AABox19","13"
"304839","158074","Originals or Copies Note","CD90 1:05:32 Data files on CD (additional data CD transfer Nov06) AABox19","13"
"304833","158073","Originals or Copies Note","Data files on CD and HD ArchPack Cass90 1:04:03 AABox19 .mp3 1:04:05 58.7 MB","13"
"304827","158072","Originals or Copies Note","CD90 1:03:23 AABox19","13"
